Tweet ,Date/Time,UserID
pls #Glamberts in BE &gt;&gt;&gt; RTW . #ikwilhelpen pls look at that &gt;&gt;&gt;&gt; #PorteOuverte #Brussels SOMEWHERE? https://t.co/1ENnM72l0t,3/23/16 13:19,BeeClaudi59
Boosting the signal...@BrusselsAirport @CrisiscenterBE #Brussels #BrusselsAttacks #zaventem #OpenHouse #ikwilhelpen https://t.co/cNq8o76JSg,3/23/16 13:11,DanaLisa
Europeans Tweet Using #ikwilhelpen to Help Stranded Travelers in Brussels https://t.co/ly3zblzhF0 via @WNYC,3/23/16 12:40,LMelilli
Anyone stranded in the #EastMidlands region because of #Belgiumattack  I offer 2 places at my place to stay #openhouse #ikwilhelpen,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
I have a home to offer! #ikwilhelpen #PorteOuverte #BrusselsAttacks #Brussels,3/23/16 12:35,jutapr
#Brussels #brusselsairport #ikwilhelpen please be on the lookout for this couple. Justin &amp;äó_ https://t.co/D3ZWgMm9DB,3/23/16 12:24,the_mrs_gibby
#ikwilhelpen #leuven Available all day to drive people : Brabanthal -&gt; where ever you need to be. PM me!,3/23/16 12:20,Geert_83
#ikwilhelpen #BrusselsLift we are family of four. Airport still close tomorrow. How to go home to perth #etihadair What to do?,3/23/16 12:18,shetravelswell
This is Tom. He's been giving stranded #brussels passengers free rides since 9am. #ikwilhelpen https://t.co/89Vyb83d3t,3/23/16 12:15,broderick
Please accept my sincere condolences. The world is with Belgium. We stand together! #jeveuxaider #ikwilhelpen https://t.co/pydFmKd7i5,3/23/16 12:12,LouiseBlackwick
Help families &amp; friends find missing people: https://t.co/x5ZTKvtWFb #brusselsmissing #ikwilhelpen,3/23/16 11:42,davidgeilfus
Help families &amp; friends find missing people: https://t.co/5IhPP1LJO0 #brusselsmissing #ikwilhelpen cc @citybrussels,3/23/16 11:41,loucaspapa
Show the finger to hate! Sign up to be matched with a Belg/newcomer for dinner https://t.co/wDfuf71Irb #ikwilhelpen https://t.co/8I54d99oOJ,3/23/16 11:32,DineWithUs_be
young couple from bruges wanne help!! you can stay here for few days if you want !!! #ikwilhelpen https://t.co/PWwL8tDcNv,3/23/16 10:58,kevainkaren
Missing people after Brussels attacks https://t.co/vEjd7DwlbX äóî #brusselsattacks #ikwilhelpen #prayforbelgium #attentatsbruxelles,3/23/16 10:53,stevepiron
We want to reach out to people who are stranded due to the crisis in Brussels. Free appartment (4) Ghent 2 nights #ikwilhelpen #RT,3/23/16 10:49,LucAilliet
Help families &amp; friends find missing people: https://t.co/lVSd729a7B #brusselsmissing #ikwilhelpen #PrayForBelgium #BrusselsAttacks,3/23/16 10:38,loucaspapa
omw to Brabanthal. In need of ride please text +32499 32 68 14. #ikwilhelpen @RodeKruisVL,3/23/16 10:36,HannesGemoets
Finally took my whole family out and paid for everythinggg lol I am a grown up now! #ikwilhelpen,3/23/16 10:30,DaisyWarren25
I can host 2 ppl in need of a place to stay wifi  shower - turnhout area (bit far away but it's the best I can do!) #ikwilhelpen,1/5/00 0:00,NA
I have a car  if you need driving  I have beds if you need a room for the night #ikwilhelpen,1/0/00 0:00,NA
People are using #ikwilhelpen to offer help to #Brussels. https://t.co/prtfrOwpZp,3/23/16 10:00,ajplus
Those who bomb won't last. #Belgium #ikwilhelpen @TEDxBrussels,3/23/16 9:25,RezaGhiabi
Swiss friend at hotel near Bxl airport needs to get to hospital in Vilvoorde &amp; buy clothes somewhere- anyone around with a car? #ikwilhelpen,3/23/16 9:23,JokeLannoye
WARNING: This World Will End Soon https://t.co/zkWj7rVSBt #PrayForBelgium #ikwilhelpen #Maalbeek #Belgií‚ #Belgien https://t.co/s4akrJI1S0,3/23/16 8:59,ahmdabdallah061
People checking in from all over the world to hear if weäó»re ok. Just now; The Philippines send their love too. :) #ikwilhelpen,3/23/16 8:52,a_cup_of_t
Read Real Time #brusselsattack #PrayForBelgium #ikwilhelpen #PorteOuverte #aanslagen Live News On https://t.co/g6gXyn7re2,3/23/16 8:43,angel66781
#Brussels #ikwilhelpen #JeSuisBrussels #BrusselsAttacks #BrusselAirport O yes we belgiums have balls of steel! https://t.co/YzMWnc8UeT,3/23/16 8:43,CornelisBram
Are there people in #brabanthal #leuven who need to go to keulen? Im driving there! #ikwilhelpen #ride #brusselsattack #help,3/23/16 8:39,BirdDeCat
You guys hear Kim Davis killed Terry Gilliam smh #ikwilhelpen,3/23/16 8:20,DaisyWarren25
Belgen: #OpenHouse in New Orleans for stranded Belgians til you can get back home. Have 10 other states with rooms too. PM me. #ikwilhelpen,3/23/16 8:00,meadowwwww
Day after #BrusselsAttacks want to put my armor on &amp; defend my family &amp; our freedom. Feeling helpless. #LoveNotHate #ikwilhelpen #mourning,3/23/16 7:57,TimothyL77
People should stay strong amidst these. Tragic. :'( :/ #KurdishRebels #Ankara #BrusselsAttacks #PourteOuverte #JeSuisBruxelles #ikwilhelpen,3/23/16 7:54,lizzyiggy23
victims of this terrible attack and their families. #IkWilHelpen ?,3/23/16 7:47,nikeyah4
Just in: also rooms in DC and Tennessee for stranded Belgians in US. PM/DM me for help. That's 10 states total. #ikwilhelpen #ikwelhelpen,3/23/16 7:38,meadowwwww
@dontrunbabygirl @BrusselsAirport and tell your baby that love ALWAYS wins! Love will prevail. #ikwilhelpen #LoveMuslims #LoveWins #brussels,3/23/16 7:33,meadowwwww
@usembbrussels @BrusselsExpats @BrusselsTravel PM me if Belgian stranded in US. I'm in Nola but friends around country. #ikwilhelpen,3/23/16 6:49,meadowwwww
Proud of de Brusselaars: using #ikwilhelpen hashtag to help those stranded in #brussels by bombing https://t.co/Zx83QKsNGl via @TIMEWorld,3/23/16 6:46,tmstangeby
Going to sleep but Belgen see earlier tweets if you need a place in US. PM me I'll respond in the morning. #ikwilhelpen #BrusselsAttacks,3/23/16 6:00,meadowwwww
PM me if you're Belgian stuck in US; have airline friends all over US and will find you a place to stay. #ikwilhelpen,3/23/16 5:43,meadowwwww
Have friends in other US cities willing to house stranded Belgians too. #ikwilhelpen #wijwillenhelpen https://t.co/5yVsc6c9zV,3/23/16 5:33,meadowwwww
Have friends in other US cities willing to house stranded Belgians too. #ikwilhelpen #wijwillenhelpen https://t.co/awmtNUD5ph,3/23/16 5:33,meadowwwww
Have friends in other US cities willing to house stranded Belgians too. #ikwilhelpen #wijwillenhelpen https://t.co/xPLS8zmI5W,3/23/16 5:33,meadowwwww
Have friends in other US cities willing to house stranded Belgians too. #ikwilhelpen #wijwillenhelpen https://t.co/XwBRlmRQPd,3/23/16 5:32,meadowwwww
Belgians are opening their doors to people affected by the terror attacks with #IkWilHelpen https://t.co/gNmuHAr8zB,3/23/16 5:32,SdSharma07
Prayers on you Brussels #ikwilhelpen ¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_,3/23/16 4:46,poloo_says
World tourism bodies stand in solidarity with #Belgium #Brussels #ikwilhelpen https://t.co/rd80RnDQdz https://t.co/1cLWWEEDvm,3/23/16 4:39,TTG_Asia
Brussels attacks: #Google offering free Hangout calls to #Belgium https://t.co/Hl5AJQVk1m #brusselsattacks #ikwilhelpen,3/23/16 4:25,agamoni
Islamic State canäó»t win in #Brussels äóñwe are fighting hate with love: https://t.co/1u0UhyHYb8 #ikwilhelpen #BrusselsAttacks #PrayForTheWorld,3/23/16 4:25,MuslimNewsAlert
So sad about Brussels. Sending lots of love. #ikwilhelpen x T,3/23/16 3:47,_tanushka13
I wish this would end. #belgium #brusselsattack #ikwilhelpen @äó_ https://t.co/JcTujsVxHh,3/23/16 2:15,JeffmsmithNYC
You will run out of terrorists before we run out of good people and solidarity ! #Brusselsattacks #aanslagenbrussel #StopIslam #ikwilhelpen,3/23/16 1:55,erikodbeeck
.@UNDPEU @UNinBrussels you are in our thoughts - we are here to help #ikwilhelpen @SDGaction,3/23/16 1:39,mtoomeyUN
People seeking help or shelter can find it with these 3 # in 3 langages: #ikwilhelpen #PorteOuverte #OpenHouse https://t.co/cu3wtEpXIQ,3/23/16 1:27,sid131313
@MrScottEddy @TheMickyDolenz1 There's also #ikwilhelpen &amp; #OpenHouse for travelers stranded in Brussels needing a place to stay.,3/23/16 1:22,BoSoxFan73
#IkWilHelpen: Watch Adele sing äóÖMake You Feel My Loveäó» for Brussels https://t.co/TUQ8G3wswR https://t.co/bwij2Xv9UN,3/23/16 1:20,GoodEveryDay4U
#IkWilHelpen: Watch Adele sing äóÖMake You Feel My Loveäó» for Brussels https://t.co/btkW9GxUtz https://t.co/9U8g2YeI8y,3/23/16 1:20,lewharris
Head up Brussels! Standing Strong #ikwilhelpen #PrayForBrussels #JeSuisBruxelle https://t.co/MZ7Vjs7NkJ,3/22/16 21:12,LoomynartyHere
#Tributes for the #BrusselsAttack victims - #BelgiumAttack #ikwilhelpen #PorteOuverte #BBCShorts. #News (https://t.co/Fz1hmtL6D1),3/22/16 21:10,GlobalSunTimes
Powerful hashtags are surfacing on Twitter offering help in wake on the #BrusselsAttacks: https://t.co/jzrLwlmv5v #ikwilhelpen,3/22/16 21:08,popsugarau
If anybody is stranded in #Leuven  we've got a bed for two #IkWilHelpen,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
BBCWorld : #Tributes for the #BrusselsAttack victims - https://t.co/0bdd7GkPCh #BelgiumAttack #ikwilhelpen #Porteäó_ https://t.co/rDQbRgFohZ,3/22/16 20:50,jahirvai2
#ikwilhelpen = awesome spontaneous sign of solidarity during a horrible time #brusselsattack,3/22/16 20:48,TinekeWillems79
#news #Tributes for the #BrusselsAttack victims - https://t.co/OuHvgml6zy #BelgiumAttack #ikwilhelpen #PorteOuverte #BBCShorts,3/22/16 20:46,mohammeddki8852
RT: @bbcnews :#Tributes for the #BrusselsAttack victims - https://t.co/BIeL82pcPM #BelgiumAttack #ikwilhelpen #PorteOuverte #BBCShorts,3/22/16 20:45,notiven
BBCNews: #Tributes for the #BrusselsAttack victims - https://t.co/Vm3XrXwUsJ #BelgiumAttack #ikwilhelpen #PorteOäó_ https://t.co/p9nitVYUAv,3/22/16 20:44,brittishmagic
#Tributes for the #BrusselsAttack victims - https://t.co/qIlx6DKTmr #BelgiumAttack #ikwilhelpen #PorteOuverte #BBäó_ https://t.co/YOKl7WoNZ2,3/22/16 20:43,ChalkAndCarrots
#Tributes for the #BrusselsAttack victims - https://t.co/UdHjQb0tRn #BelgiumAttack #ikwilhelpen #PorteOuverte #BBCShorts,3/22/16 20:40,BBCWorld
#Tributes for the #BrusselsAttack victims - https://t.co/8yMacgq9OJ #BelgiumAttack #ikwilhelpen #PorteOuverte #BBCShorts,3/22/16 20:40,BBCNews
New trending story from TIME: Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombing https://t.co/07oB3FyZ3F,3/22/16 20:39,piercearrow33
@CYC_Coolidge stands with #Brussels. Speak up against violence. #forthekids #ikwilhelpen #BrusselsAttacks https://t.co/nbp7IesvWl,3/22/16 20:34,cycsharonboyd
Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombing https://t.co/UVWkeuKVOq https://t.co/eZkAWrywWp,3/22/16 20:33,desmondclark
My heart goes out to everyone in Brussels. #PrayForBrussels #ikwilhelpen #Brussels ¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_,3/22/16 20:21,bsuresh7282
Any kind soul willing to offer a lift from Leuven to Diegem tomorrow 23/03 in the morning? #BrusselsOpenDoors #IkWilHelpen,3/22/16 20:17,Katika_Munoz
Are you stuck in #Brussels and need a ride or a place to stay? check or use #ikwilhelpen - people are helping with transport + accommodation,3/22/16 19:54,LouiseWillo
if ur stuck in #Brussels tonight,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
#IkWilHelpen: Belgians open homes and businesses to Brussels victimsäóñand you can help,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
#IkWilHelpen: Belgians open homes and businesses to Brussels victimsäóñand you can help,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
#IkWilHelpen: Belgians open homes and businesses to Brussels victimsäóñand you can help,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
People in Belgium Are Using #IkWilHelpen to Offer Aid in the Wake of the Brussels Attacks by @msolis14 https://t.co/24FAAeEwze via @MicNews,3/22/16 19:45,renegadecop
Are there people in #Zaventem / #Brussels who need to go to #Schiphol? #ikwilhelpen,3/22/16 19:44,MulderHannah
#Ikwilhelpen: How Belgians Are Using Twitter To Help After The Attacks https://t.co/nmGpQdUZrN via https://t.co/iIh8vtvk41 #hashtagthat,3/22/16 19:44,hashtagthatnow
Nightmare!! #IkWilHelpen #Brussels https://t.co/YmOwQIo6cX,3/22/16 19:43,UwSecretariaat
"RT latimes ""Belgians offer stranded tourists a place to stay with #PorteOuverte #ikwilhelpen äó_ https://t.co/KhdZBUEryU""",3/22/16 19:41,newslarts
#ikwilhelpen I stay in Novotel Leuven this night in a 2pp room  so place to stay for 1 person. Email tanja.leys@gmail.com,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
#ikwilhelpen I can take 4 people from Brussels airport (or close to) to Leuven city today around 15:10. Email tanja.leys@gmail.com,3/22/16 19:40,tanja_leys
Belgians offer stranded tourists a place to stay with #PorteOuverte #ikwilhelpen https://t.co/TxQoHEgEQI https://t.co/oZfskNSyER #latimesäó_,3/22/16 19:38,RMRealtor
Anyone still looking for a lift out of Brussels or a place to stay? #ikwilhelpen,3/22/16 19:37,ingevandeplas
If you need a ride out of Brussels tonight send me a PM I'm willing to drive you to the neighbouring towns. #ikwilhelpen,3/22/16 19:34,TelGeadas
Belgians offer stranded tourists a place to stay with #PorteOuverte #ikwilhelpen https://t.co/mwAhCrHzut https://t.co/JON02tmed7,3/22/16 19:30,latimes
If someone need a place to stay  we have place up to 4 people in Leuven #ikwilhelpen #brusselsattack,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
#Brussels shows its greather than fearäóîPeople opendoors rather than close them. https://t.co/DWM9eOOGG6 #ikwilhelpen https://t.co/tzxmQFhq5d,3/22/16 19:28,MaksCzuperski
Belgian People Are Helping Each Other Using Hashtags #ikwilhelpen,3/22/16 18:16,EricVanDerHulst
We have 2 places to stay for people who are stranded around #Madou in #Brussels #PorteOuverte #opendoors #ikwilhelpen,3/22/16 18:15,lisa_jacobs_
Anybody needing shelter in #Leuven or near #Brussels  we have a place for you. #IkWilHelpen #PorteOuverte #Bruxelles #Brussel #Belgium,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
6 Steps for Dealing with Fear After #Brussels Attacks (cause sometimes the world is big &amp; scary) #IkWilHelpen #prayforpeace,3/22/16 18:14,GriefCompass
Offer: 3 free seats  23/03 - 21h  #Mechelen/#Brussel to #Genk (or #Hasselt / #Aachen for #Germans). #ikwilhelpen,1/0/00 0:00,NA
Driving from #Leuven towards #Brussel (Schaarbeek) at 19:30. Happy to offer a seat in the car to those who still need it #ikwilhelpen,3/22/16 18:11,Anselm_ver
Hey #belgium...Did you see terrorist???? See fucking terrorist PKK pzl.. #PrayersForBrussels #ikwilhelpen https://t.co/9Zr3ggP3C1,3/22/16 18:11,SerenaNovara
Tweets for Good! Belgians Offer Support With Hashtag https://t.co/W3P52se8vh via @thedailybeast #ikwilhelpen,3/22/16 18:10,indieducator
Belgian People Are Helping Each Other Using Hashtags https://t.co/GaAijJk3YW via @rose_catb @buzzfeednews #IkWilHelpen,3/22/16 18:09,CodenameWallaby
4 sleeping places available in #Leuven #ikwilhelpen,3/22/16 18:08,RoosAerts
We can accomodate bed  food and calm environment for stranded travellers in Antwerp  nearby berchem station. 4 beds available #ikwilhelpen,1/3/00 0:00,NA
need a place to stay temporarily away from brussels? Doors are wide open in Geel Antwerp. We have a spare room shower wifi #ikwilhelpen,,NA
@koenp66 @liesjevdw check #ikwilhelpen !,3/22/16 18:04,rrradiogirrrl
Where is the Love? #stopterrorism #pray #PrayForTheWorld #prayforpeace #jesuissickofthisshit #ikwilhelpen https://t.co/D1x3n6hZGV,3/22/16 18:01,Gitte_Vrints
Another terrorist attack in Europe. My thoughts and prayers are with the whole of Belgium and EU. #Ikwilhelpen #brussels #lifeisajernih,3/22/16 18:00,JernihAgapito
I Love the kind nature of the human spirit The hashtag #IkWilHelpen is offering help to those stranded by the Brussel bombings äìë¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ÿè¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_ ¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_¥Ë_,3/22/16 17:57,oneAndygrundy
Not everyone change their profile pic to Belgium's flag so fast. Don't worry we know it's not France. #ikwilhelpen,3/22/16 17:57,Mr_eS_Em_Gee_23
davidbychkov: TimMoore: #Brussels #ikwilhelpen https://t.co/idzrDEoxJy,3/22/16 17:57,BlackBoxPhD
#ikwilhelpen means #Iwanttohelp https://t.co/iVQPs8COzZ,3/22/16 17:57,BelgianDan
Know any great stories of people helping each other in Brussels? Send them my way... #ikwilhelpen #Brussels,3/22/16 17:56,kelmckelv
#ikwilhelpen #BrusselsAttacks our hart Goes for al the innocent victims,3/22/16 17:56,dutch_basics
Hot: Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombinäó_ https://t.co/nO08SLDWHb https://t.co/XcOKwngNAs,3/22/16 17:55,SevenDaysLive
People stuck in #Brussels can call this number +322/648.50.02 to find quick help for a place to stay this evening #ikwilhelpen,3/22/16 17:54,elkedens
The hashtag #ikwilhelpen (I offer help) makes clear that terrorist attacks only bring us closer to each other. #love #Brussels,3/22/16 17:53,JohanvdBrink
RT davidbychkov: TimMoore: #Brussels #ikwilhelpen https://t.co/3plqxTgyRS,3/22/16 17:53,holocinema
I have a couch &amp; sleeping bag #ikwilhelpen,3/22/16 17:52,ALDEPressKat
If anyone is stranded or in need of roof in #antwerpen our door is open. Just give us a ring #ikwilhelpen,3/22/16 17:51,JannesCal
TimMoore: #Brussels #ikwilhelpen https://t.co/4Hq8Ne5JeX,3/22/16 17:49,davidbychkov
RT @TIME: Brussels residents use hashtag #ikwilhelpen to offer help to those stranded by... https://t.co/NUQR12cfSK via @EvelinPlacidoAl,3/22/16 17:49,Frascaty
I can offer up to 4 places in car to Ghent/Kortrijk departing from Leuven #ikwilhelpen,3/22/16 17:49,KoenVL23
"Belgians unite w/ the #IkWilHelpen meaning ""I want to help"": https://t.co/1GaqIBk5Et. #PrayForBrussels today. https://t.co/OvmrWC7xqd",3/22/16 17:48,ThinkInkPR
@greghal follow #ikwilhelpen or ask @pzzaventem or go to Sporthal Zaventem?,3/22/16 17:46,anneleen
@Mr_Blst my pleasure! #ikwilhelpen,3/22/16 17:46,deklippelv
#ikwilhelpen #StopIslam #prayersforBrussels Donald Trump predicted #Brussels attacks months ago https://t.co/187JUduAgL äó_,3/22/16 17:46,PagalKRK
Soon the whole world will know the dutch words #ikwilhelpen (I want to help) #believeinpeace #kindness,3/22/16 17:44,Brennyy_x
Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombing https://t.co/UzZ2mZIAAX @TIäó_ https://t.co/tOZXg4Xekr,3/22/16 17:43,vmwheeler
Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombing viaäó_ https://t.co/BVTQDigmzf https://t.co/ogY9c1ymYZ,3/22/16 17:43,myMpango
Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombing viaäó_ https://t.co/lBUbjJjgZx https://t.co/hhdNnHWhJw,3/22/16 17:43,ddks01
Brussels Residents Use Hashtag #ikwilhelpen to Offer Help to Those Stranded by Bombing viaäó_ https://t.co/rdkJaBvU5w https://t.co/RMu388faih,3/22/16 17:43,GaryFox_
Humans can be pretty cool: #Brussels residents use #ikwilhelpen hashtag to offer help to those stranded by bombing https://t.co/Ha0vvIeX1u,3/22/16 17:42,martinsalice
Sun sets in 25 min in #Brussels. Going out now to hand out these power banks. #PorteOuverte #OpenHouse #IkWilHelpen https://t.co/TM4zgXl1S5,3/22/16 17:41,twtAhmed
"@TimMoore you're using #ikwilhelpen wrong; it means ""i want to help"". You're not helping..",3/22/16 17:41,StChantal
@world if you live near #Airports connecting to #Bruxelles and can host stranded travellers : #ikwilhelpen,3/22/16 17:41,3DPrintersVDB
"Belgians are opening their doors to people affected by the terror attacks in #Brussels w/ #IkWilHelpen ""I will help"" https://t.co/bnoOLmJIhT",3/22/16 17:39,antic_kevin
Brussels is offering shelter through hashtags: #PorteOuverte #OpenHouse #ikwilhelpen. https://t.co/Tn4bjeBARt https://t.co/mWCsFzgCW5,3/22/16 17:39,IncognitoSocial
Sun sets in 25 minutes in #Brussels. Going out now to hand out these power banks. #PorteOuverte #IkWilHelpen https://t.co/tyMJVnFQRV,3/22/16 17:38,twtAhmed
Will leave #Zaventem in half an hour and drive to #gent. Got 4 places and 2 children seats #ikwilhelpen,3/22/16 17:36,LievenVR
If you are stuck in Gent or know someone who is I can host 1-2 people just pm me #ikwilhelpen,1/1/00 0:00,NA
